index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,E1,E2,E3,E4,E5,E6,R1,R2,R3,R4,R5,R6,Total_excess
2232,4,2,2,0,1,-1,-1,-1,5.71934,11.2406,15.1146,15.1146,15.1146,15.1146,0.636323,0.712231,0.967617,0.955472,0.8483,0.960277,0.0543,0.23209808628,0.346454012758,1.0,1.0,1.0,5.080218812
2233,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.304675,0.983902,0.979232,0.973042,0.981177,0.950905,0.7749,0.83291353116,0.8462815401999999,1.0,0.9999983050600001,1.0,5.1729331833
2234,5,1,4,-1,0,1,2,-1,5.69944,5.69944,10.7133,15.6597,18.4791,18.4791,0.562202,0.662215,0.254656,0.99555,0.68441,0.722226,0.7047,0.10650000000000001,0.9752696920699999,0.99999984409,0.3689,0.9641000000000001,3.8812588056
2235,6,1,1,-1,0,3,-1,2,6.12595,6.12595,11.4656,20.5083,20.5083,22.5415,0.392277,0.390094,0.979232,0.870551,0.913118,0.984911,0.2341,0.9792,0.8462815401999999,1.0,1.0,0.9958,4.530182312
2236,4,2,2,3,1,-1,-1,-1,5.71934,10.6473,15.433,15.433,15.433,15.433,0.617936,0.549401,0.980708,0.956676,0.953676,0.956247,0.1943,0.11460000000000001,0.63382479205,1.0,0.9976868030799999,1.0,5.0146436708
2237,4,1,0,-1,1,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.123395,0.0732855,0.866462,0.866462,0.856677,0.827541,0.40769944348000003,0.4042,0.89727615637,0.89727615637,0.99999931897,0.9992,3.613821535
2238,6,2,2,-1,-1,0,1,3,5.71934,5.71934,5.71934,11.2406,15.1146,20.0425,0.636362,0.593514,0.576043,0.612191,0.969373,0.970321,0.024644440017000002,0.9998,0.7042999999999999,0.7958000000000001,0.3549,0.9998670409620001,4.3578042662
2239,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.992881,0.917568,0.997289,0.997289,0.8775,0.987636,1.0,1.0,1.0,1.0,1.0,1.0,5.7701640055
2240,1,2,1,-1,-1,-1,-1,-1,5.6423,5.6423,5.6423,5.6423,5.6423,5.6423,0.768162,0.733735,0.765272,0.717486,0.773863,0.775704,0.1243,0.98599164547,0.352751339339,1.0,0.322844800938,1.0,4.5342235234
2241,6,2,2,-1,3,-1,-1,0,5.71934,5.71934,10.6473,10.6473,10.6473,16.1685,0.629403,0.616972,0.546989,0.50676,0.440587,0.785617,0.1595,1.0,0.7148874169299999,0.6119,0.925,0.9872000000000001,3.5263288524
2242,6,1,3,1,-1,-1,4,0,11.2751,16.2848,16.2848,16.2848,20.8722,24.7024,0.787622,0.276834,0.282075,0.298288,0.823645,0.8774,0.45994220888000004,0.7836,0.87672696205,0.99983858831,0.47319999999999995,1.0,3.3458653284
2243,5,1,3,-1,-1,0,4,-1,11.2751,11.2751,11.2751,16.2848,20.8722,20.8722,0.746986,0.787622,0.742616,0.558027,0.30767,0.292671,1.0,0.45994220888000004,0.5615,0.6605,0.9304167106200001,0.911251879075,3.435592631
2244,6,1,3,-1,0,4,-1,-1,11.2751,11.2751,16.2848,20.8722,20.8722,20.8722,0.794377,0.806457,0.547124,0.315455,0.315455,0.320414,1.0,0.38490283708000006,0.631,0.9651617214999999,0.9651617214999999,0.9314,3.0992807777
